Area;Sampling_time_zolle;Num_leaves_per_bundle;Mean_lenght;;;;;
Punta Sottile;Time1;2;19.45;;;;;
Punta Sottile;Time1;2;27.20;;;;;
Punta Sottile;Time1;2;20.80;;;;;
Punta Sottile;Time1;3;26.40;;;;;
Punta Sottile;Time1;3;35.00;;;;;
Punta Sottile;Time1;3;31.60;;;;;
Punta Sottile;Time1;2;24.00;;;;;
Punta Sottile;Time1;2;30.00;;;;;
Punta Sottile;Time1;2;29.15;;;;;
Punta Sottile;Time1;2;26.15;;;;;
Punta Sottile;Time1;1;29.00;;;;;
Punta Sottile;Time1;2;26.75;;;;;
Punta Sottile;Time1;2;31.55;;;;;
Punta Sottile;Time1;3;25.57;;;;;
Punta Sottile;Time1;2;27.60;;;;;
Punta Sottile;Time1;2;26.95;;;;;
Punta Sottile;Time1;1;16.20;;;;;
Punta Sottile;Time1;2;27.30;;;;;
Punta Sottile;Time1;3;13.30;;;;;
Punta Sottile;Time1;5;14.76;;;;;
Punta Sottile;Time1;2;15.65;;;;;
Punta Sottile;Time1;4;10.48;;;;;
Punta Sottile;Time1;2;4.80;;;;;
Punta Sottile;Time1;3;11.07;;;;;
Punta Sottile;Time1;2;5.20;;;;;
Punta Sottile;Time1;3;22.50;;;;;
Punta Sottile;Time1;2;5.80;;;;;
Punta Sottile;Time1;2;17.70;;;;;
Punta Sottile;Time1;1;5.10;;;;;
Punta Sottile;Time1;3;13.93;;;;;
Punta Sottile;Time1;3;10.93;;;;;
Punta Sottile;Time1;2;8.00;;;;;
Punta Sottile;Time1;2;13.20;;;;;
Punta Sottile;Time1;3;15.43;;;;;
Punta Sottile;Time1;2;19.15;;;;;
Punta Sottile;Time1;2;11.85;;;;;
Punta Sottile;Time1;2;13.85;;;;;
Punta Sottile;Time1;3;16.80;;;;;
Punta Sottile;Time1;3;13.20;;;;;
Punta Sottile;Time1;2;11.30;;;;;
Punta Sottile;Time1;2;13.15;;;;;
Punta Sottile;Time1;1;15.10;;;;;
Punta Sottile;Time1;2;10.05;;;;;
Punta Sottile;Time1;4;7.55;;;;;
Punta Sottile;Time1;3;13.73;;;;;
Punta Sottile;Time1;3;16.60;;;;;
Punta Sottile;Time1;1;5.60;;;;;
Punta Sottile;Time1;3;14.47;;;;;
Punta Sottile;Time1;2;20.15;;;;;
Punta Sottile;Time1;3;11.43;;;;;
Punta Sottile;Time1;3;13.97;;;;;
Punta Sottile;Time1;3;16.80;;;;;
Punta Sottile;Time1;2;12.10;;;;;
Punta Sottile;Time1;2;16.45;;;;;
Punta Sottile;Time1;1;23.80;;;;;
Punta Sottile;Time1;3;21.30;;;;;
Punta Sottile;Time1;4;3.88;;;;;
Punta Sottile;Time1;2;13.25;;;;;
Punta Sottile;Time1;2;26.70;;;;;
Punta Sottile;Time1;1;25.40;;;;;
Punta Sottile;Time1;3;11.57;;;;;
Punta Sottile;Time1;2;17.30;;;;;
Punta Sottile;Time1;1;21.30;;;;;
Punta Sottile;Time1;2;13.45;;;;;
Punta Sottile;Time1;2;12.05;;;;;
Punta Sottile;Time1;2;18.35;;;;;
Punta Sottile;Time1;3;19.67;;;;;
Punta Sottile;Time1;4;18.00;;;;;
Punta Sottile;Time1;2;16.85;;;;;
Punta Sottile;Time1;2;20.80;;;;;
Punta Sottile;Time1;2;19.55;;;;;
Punta Sottile;Time1;3;17.90;;;;;
Punta Sottile;Time1;2;15.45;;;;;
Punta Sottile;Time1;2;15.20;;;;;
Punta Sottile;Time2;1;3.80;;;;;
